id,created_at,updated_at,parent_id,child_id,item_order
80,"2020-06-07 13:14:17","2020-06-07 13:14:17",10,81,0
81,"2020-06-07 13:14:17","2020-06-07 13:14:17",86,82,0
82,"2020-06-07 13:14:17","2020-06-07 13:14:17",59,83,0
83,"2020-06-07 13:14:17","2020-06-07 13:14:17",86,84,0
84,"2020-06-07 13:14:17","2020-06-07 13:14:17",187,85,0
85,"2020-06-07 13:14:17","2020-06-07 13:14:17",2,86,0
86,"2020-06-07 13:14:17","2020-06-07 13:14:17",203,87,0
87,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,88,0
88,"2020-06-07 13:14:18","2020-06-07 13:14:18",115,89,0
89,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,90,0
90,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,91,0
91,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,92,0
92,"2020-06-07 13:14:18","2020-06-07 13:14:18",35,93,0
93,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,94,0
94,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,95,0
95,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,96,0
96,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,97,0
97,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,98,0
98,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,99,0
99,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,100,0
100,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,101,0
101,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,102,0
102,"2020-06-07 13:14:18","2020-06-07 13:14:18",32,103,0
103,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,104,0
104,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,105,0
105,"2020-06-07 13:14:18","2020-06-07 13:14:18",32,106,0
106,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,107,0
107,"2020-06-07 13:14:18","2020-06-07 13:14:18",212,108,0
108,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,109,0
109,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,110,0
110,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,111,0
111,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,112,0
112,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,113,0
113,"2020-06-07 13:14:18","2020-06-07 13:14:18",32,114,0
114,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,115,0
115,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,116,0
116,"2020-06-07 13:14:18","2020-06-07 13:14:18",115,117,0
117,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,118,0
118,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,119,0
119,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,120,0
120,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,121,0
121,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,122,0
122,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,123,0
123,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,124,0
124,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,137,0
125,"2020-06-07 13:14:18","2020-06-07 13:14:18",137,138,0
126,"2020-06-07 13:14:18","2020-06-07 13:14:18",137,139,0
127,"2020-06-07 13:14:18","2020-06-07 13:14:18",137,140,0
128,"2020-06-07 13:14:18","2020-06-07 13:14:18",137,141,0
129,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,142,0
130,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,143,0
131,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,144,0
132,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,145,0
133,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,146,0
134,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,147,0
135,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,148,0
136,"2020-06-07 13:14:18","2020-06-07 13:14:18",203,149,0
137,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,150,0
138,"2020-06-07 13:14:18","2020-06-07 13:14:18",203,151,0
139,"2020-06-07 13:14:18","2020-06-07 13:14:18",203,152,0
140,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,153,0
141,"2020-06-07 13:14:18","2020-06-07 13:14:18",35,154,0
142,"2020-06-07 13:14:18","2020-06-07 13:14:18",35,155,0
143,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,156,0
144,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,175,0
145,"2020-06-07 13:14:18","2020-06-07 13:14:18",75,176,0
146,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,177,0
147,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,179,0
148,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,182,0
149,"2020-06-07 13:14:18","2020-06-07 13:14:18",122,187,0
150,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,188,0
151,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,189,0
152,"2020-06-07 13:14:18","2020-06-07 13:14:18",137,190,0
153,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,192,0
154,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,193,0
155,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,194,0
156,"2020-06-07 13:14:18","2020-06-07 13:14:18",144,195,0
157,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,196,0
158,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,197,0
159,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,198,0
160,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,199,0
161,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,201,0
162,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,202,0
163,"2020-06-07 13:14:18","2020-06-07 13:14:18",2,203,0
164,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,204,0
165,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,205,0
166,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,206,0
167,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,207,0
168,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,208,0
169,"2020-06-07 13:14:18","2020-06-07 13:14:18",124,209,0
170,"2020-06-07 13:14:18","2020-06-07 13:14:18",122,210,0
171,"2020-06-07 13:14:18","2020-06-07 13:14:18",34,211,0
172,"2020-06-07 13:14:18","2020-06-07 13:14:18",115,212,0
173,"2020-06-07 13:14:18","2020-06-07 13:14:18",45,213,0
174,"2020-06-07 13:14:18","2020-06-07 13:14:18",45,214,0
175,"2020-06-07 13:14:18","2020-06-07 13:14:18",45,215,0
176,"2020-06-07 13:14:18","2020-06-07 13:14:18",86,216,0
177,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,217,0
178,"2020-06-07 13:14:18","2020-06-07 13:14:18",59,218,0
179,"2020-06-07 13:14:18","2020-06-07 13:14:18",10,219,0
